customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
3711-DJVH,Male,0,Yes,No,30,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,99.06,2964.21,Yes
3165-EMCS,Female,0,Yes,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),17.8,259.06,Yes
9691-FPJD,Male,0,Yes,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,22.38,619.44,Yes
7291-GSQO,Female,1,Yes,Yes,36,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),87.73,3158.18,Yes
9185-HVXZ,Male,0,No,No,41,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.74,4171.47,Yes
9209-IYEK,Female,0,Yes,No,69,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),68.43,4716.56,No
2900-JBLV,Female,0,Yes,No,23,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,82.32,1898.79,Yes
8034-KESG,Female,0,Yes,No,10,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,77.18,766.69,Yes
7274-LHZR,Male,0,No,Yes,54,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),92.72,4998.26,Yes
5625-MKGC,Female,0,No,Yes,26,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,90.25,2349.22,Yes
1157-NNNN,Female,0,No,No,40,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),99.23,3978.69,No
2565-OQUY,Male,0,Yes,No,8,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,46.68,375.13,Yes
3693-PTBJ,Female,0,Yes,No,27,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,78.49,2116.34,No
5896-QWIU,Female,0,Yes,No,58,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,85.78,4978.13,No
5240-RZPF,Male,0,Yes,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,19.77,1120.25,No
7471-SCWQ,Female,0,No,Yes,28,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,53.68,1495.78,Yes
9614-TFDB,Male,0,No,No,49,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,76.86,3761.76,Yes
8728-UIKM,Female,0,No,No,13,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),74.15,965.78,No
6761-VLRX,Male,0,Yes,No,64,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,92.78,5942.26,No
6301-WOYI,Male,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,17.61,260.19,Yes
3580-XRFT,Female,0,No,No,23,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,No,Credit card (automatic),69.35,1604.94,No
1530-YUME,Male,0,No,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.89,657.17,No
2453-ZXTP,Female,0,Yes,Yes,9,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,77.61,698.08,Yes
4695-AAAA,Male,0,No,Yes,3,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Mailed check,67.19,210.42,Yes
8113-BDHL,Male,0,Yes,No,53,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,78.77,4178.05,No
4271-CGOW,Male,0,Yes,Yes,11,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,54.67,596.64,Yes
4706-DJVH,Female,0,Yes,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,17.37,223.55,Yes
9773-EMCS,Female,0,Yes,Yes,51,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,97.93,4993.14,No
3422-FPJD,Female,0,No,No,12,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),82.79,985.48,Yes
2654-GSQO,Female,1,No,No,34,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Mailed check,84.37,2876.16,No
1807-HVXZ,Female,1,No,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.8,738.07,No
6257-IYEK,Female,0,No,Yes,57,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),77.17,4392.55,No
1944-JBLV,Male,0,Yes,No,26,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),79.1,2049.87,Yes
2480-KESG,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,One year,No,Electronic check,83.51,2344.38,Yes
5511-LHZR,Female,1,No,No,28,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),82.17,2295.98,Yes
